Far field
"Plane Wave Phi"[deg]	"Magnitude [dBV]"	"Phase [deg]"	
2.71000000E+02	-1.24296946E+02	-4.74380429E+01	
2.72000000E+02	-1.21459961E+02	-4.80839929E+01	
2.73000000E+02	-1.19260130E+02	-4.62805358E+01	
2.74000000E+02	-1.17458128E+02	-4.26565276E+01	
2.75000000E+02	-1.15922446E+02	-3.75690806E+01	
2.76000000E+02	-1.14588393E+02	-3.11866013E+01	
2.77000000E+02	-1.13414477E+02	-2.35853229E+01	
2.78000000E+02	-1.12387494E+02	-1.48013602E+01	
2.79000000E+02	-1.11475930E+02	-4.90195257E+00	
2.80000000E+02	-1.10699537E+02	6.04901154E+00	
2.81000000E+02	-1.10046793E+02	1.81036877E+01	
2.82000000E+02	-1.09534532E+02	3.11992645E+01	
2.83000000E+02	-1.09171012E+02	4.53835681E+01	
2.84000000E+02	-1.08980703E+02	6.07093864E+01	
2.85000000E+02	-1.08975068E+02	7.72414008E+01	
2.86000000E+02	-1.09197262E+02	9.51451220E+01	
2.87000000E+02	-1.09667217E+02	1.14539867E+02	
2.88000000E+02	-1.10444499E+02	1.35853600E+02	
2.89000000E+02	-1.11540301E+02	1.59562611E+02	
2.90000000E+02	-1.12974475E+02	-1.73383869E+02	
2.91000000E+02	-1.14667045E+02	-1.41574451E+02	
2.92000000E+02	-1.16339332E+02	-1.03881678E+02	
2.93000000E+02	-1.17424966E+02	-6.13032173E+01	
2.94000000E+02	-1.17770734E+02	-1.84939397E+01	
2.95000000E+02	-1.17988377E+02	2.07255601E+01	
2.96000000E+02	-1.18904587E+02	5.67707150E+01	
2.97000000E+02	-1.21369463E+02	9.31138269E+01	
2.98000000E+02	-1.27440810E+02	1.40980242E+02	
2.99000000E+02	-1.29358926E+02	-8.34437572E+01	
3.00000000E+02	-1.20415399E+02	-2.54353392E+01	
3.01000000E+02	-1.16039628E+02	1.05643895E+01	
3.02000000E+02	-1.13744594E+02	4.38531537E+01	
3.03000000E+02	-1.12838158E+02	7.71250800E+01	
3.04000000E+02	-1.13159537E+02	1.11778650E+02	
3.05000000E+02	-1.14767000E+02	1.50025180E+02	
3.06000000E+02	-1.17887892E+02	-1.63162826E+02	
3.07000000E+02	-1.21397600E+02	-9.45489342E+01	
3.08000000E+02	-1.20757403E+02	-1.57312150E+01	
3.09000000E+02	-1.18985574E+02	3.93452355E+01	
3.10000000E+02	-1.19574657E+02	8.25479528E+01	
3.11000000E+02	-1.24686467E+02	1.21787909E+02	
3.12000000E+02	-1.34150755E+02	-2.21074018E+01	
3.13000000E+02	-1.19270323E+02	1.62346185E+01	
3.14000000E+02	-1.14748236E+02	5.36655086E+01	
3.15000000E+02	-1.13216938E+02	9.17153293E+01	
3.16000000E+02	-1.13915887E+02	1.30967535E+02	
3.17000000E+02	-1.17328415E+02	1.73733843E+02	
3.18000000E+02	-1.26369113E+02	-1.21971154E+02	
3.19000000E+02	-1.24443343E+02	3.00348193E+01	
3.20000000E+02	-1.19275086E+02	8.47643715E+01	
3.21000000E+02	-1.19828322E+02	1.27950495E+02	
3.22000000E+02	-1.28232681E+02	1.67780788E+02	
3.23000000E+02	-1.24923950E+02	3.34852430E+01	
3.24000000E+02	-1.16754860E+02	7.41073527E+01	
3.25000000E+02	-1.14503855E+02	1.16234698E+02	
3.26000000E+02	-1.15615877E+02	1.59950305E+02	
3.27000000E+02	-1.21311610E+02	-1.49998628E+02	
3.28000000E+02	-1.30370661E+02	1.01245469E+01	
3.29000000E+02	-1.19842754E+02	8.80890970E+01	
3.30000000E+02	-1.18672200E+02	1.33461844E+02	
3.31000000E+02	-1.24383233E+02	1.67994815E+02	
3.32000000E+02	-1.25881339E+02	7.32475954E+01	
3.33000000E+02	-1.16539766E+02	1.02334844E+02	
3.34000000E+02	-1.14224853E+02	1.44403276E+02	
3.35000000E+02	-1.15874439E+02	-1.71491476E+02	
3.36000000E+02	-1.23886195E+02	-1.26158282E+02	
3.37000000E+02	-1.26503645E+02	9.71754195E+01	
3.38000000E+02	-1.18862726E+02	1.43095100E+02	
3.39000000E+02	-1.19945457E+02	-1.72952851E+02	
3.40000000E+02	-1.34498732E+02	-1.60383783E+02	
3.41000000E+02	-1.20374565E+02	1.14130373E+02	
3.42000000E+02	-1.15606656E+02	1.57797734E+02	
3.43000000E+02	-1.16142614E+02	-1.55336694E+02	
3.44000000E+02	-1.23033680E+02	-1.06769414E+02	
3.45000000E+02	-1.27590229E+02	1.17690144E+02	
3.46000000E+02	-1.18847275E+02	1.68092536E+02	
3.47000000E+02	-1.19527093E+02	-1.41677161E+02	
3.48000000E+02	-1.33249783E+02	-7.81755969E+01	
3.49000000E+02	-1.21220193E+02	1.29317862E+02	
3.50000000E+02	-1.16473186E+02	-1.79254191E+02	
3.51000000E+02	-1.17814062E+02	-1.29572531E+02	
3.52000000E+02	-1.29244381E+02	-8.48625815E+01	
3.53000000E+02	-1.22536774E+02	1.55682654E+02	
3.54000000E+02	-1.17698113E+02	-1.55339055E+02	
3.55000000E+02	-1.20240364E+02	-1.04270369E+02	
3.56000000E+02	-1.44694697E+02	7.15845828E+01	
3.57000000E+02	-1.19357795E+02	1.71798861E+02	
3.58000000E+02	-1.16646477E+02	-1.36887691E+02	
3.59000000E+02	-1.20410386E+02	-8.74665308E+01	
3.60000000E+02	-1.34002821E+02	1.70461133E+02	
