Far field
"Plane Wave Phi"[deg]	"Magnitude [dBV]"	"Phase [deg]"	
3.37000000E+02	-1.08777050E+02	7.74633815E+01	
3.38000000E+02	-1.09539144E+02	2.19190790E+01	
3.39000000E+02	-1.10920774E+02	6.78549276E+01	
3.40000000E+02	-1.12622611E+02	-1.52054944E+02	
3.41000000E+02	-1.14075100E+02	7.51805803E+01	
3.42000000E+02	-1.13296214E+02	3.21524723E+01	
3.43000000E+02	-1.12059511E+02	8.18209764E+01	
3.44000000E+02	-1.10834988E+02	-1.37971102E+02	
3.45000000E+02	-1.10565680E+02	8.31147067E+01	
3.46000000E+02	-1.10617412E+02	2.02595833E+01	
3.47000000E+02	-1.11565824E+02	2.88183377E+01	
3.48000000E+02	-1.13435222E+02	1.02035508E+02	
3.49000000E+02	-1.16935224E+02	-1.20998442E+02	
3.50000000E+02	-1.20504124E+02	8.93550482E+01	
3.51000000E+02	-1.22302282E+02	3.96211961E+00	
3.52000000E+02	-1.18689624E+02	-4.80885365E+01	
3.53000000E+02	-1.16771899E+02	-8.05048329E+01	
3.54000000E+02	-1.15814565E+02	-8.44310395E+01	
3.55000000E+02	-1.15746430E+02	-5.96093547E+01	
3.56000000E+02	-1.16081331E+02	-7.28587282E+00	
3.57000000E+02	-1.16588347E+02	6.92823238E+01	
3.58000000E+02	-1.16532082E+02	1.59184823E+02	
3.59000000E+02	-1.15617708E+02	-1.03675824E+02	
3.60000000E+02	-1.15016305E+02	-5.92805900E+00	
