Far field
"Plane Wave Phi"[deg]	"Magnitude [dBV]"	"Phase [deg]"	
3.36000000E+02	-1.08365642E+02	1.41724924E+02	
3.37000000E+02	-1.10360545E+02	-1.58895484E+02	
3.38000000E+02	-1.16092534E+02	-8.78572999E+01	
3.39000000E+02	-1.18423842E+02	3.86128302E+01	
3.40000000E+02	-1.12556758E+02	1.17467645E+02	
3.41000000E+02	-1.10132812E+02	1.75293142E+02	
3.42000000E+02	-1.10353657E+02	-1.21482210E+02	
3.43000000E+02	-1.11422910E+02	-3.81753651E+01	
3.44000000E+02	-1.10045552E+02	5.88171840E+01	
3.45000000E+02	-1.07923166E+02	1.38698042E+02	
3.46000000E+02	-1.08496328E+02	-1.45848588E+02	
3.47000000E+02	-1.12327313E+02	-5.47999803E+01	
3.48000000E+02	-1.11774608E+02	7.39256307E+01	
3.49000000E+02	-1.08077490E+02	1.63871405E+02	
3.50000000E+02	-1.08079157E+02	-1.18861098E+02	
3.51000000E+02	-1.11146715E+02	-2.75490059E+01	
3.52000000E+02	-1.11686828E+02	9.12492495E+01	
3.53000000E+02	-1.09369686E+02	-1.74164026E+02	
3.54000000E+02	-1.10093962E+02	-9.02293131E+01	
3.55000000E+02	-1.12472626E+02	1.47026643E+01	
3.56000000E+02	-1.10101689E+02	1.25540798E+02	
3.57000000E+02	-1.08152048E+02	-1.51976406E+02	
3.58000000E+02	-1.09295497E+02	-7.27191695E+01	
3.59000000E+02	-1.12140782E+02	2.92333194E+01	
3.60000000E+02	-1.10244127E+02	1.38538927E+02	
